행정구역(시군구)별,시점,총전입[명],총전출[명],순이동[명],시도내이동-시군구내[명],시도내이동-시군구간 전입[명],시도내이동-시군구간 전출[명],시도간전입[명],시도간전출[명]
부천시,2020. 04 월,8002,8400,-398,3538,1116,1819,3348,3043
광명시,2020. 04 월,3827,4346,-519,1966,713,1135,1148,1245
평택시,2020. 04 월,7275,5831,1444,3226,1583,1312,2466,1293
동두천시,2020. 04 월,1015,1033,-18,531,241,349,243,153
안산시,2020. 04 월,10769,10040,729,6900,2089,1868,1780,1272
고양시,2020. 04 월,13284,11423,1861,6284,2025,2344,4975,2795
과천시,2020. 04 월,2472,1067,1405,709,1059,187,704,171
구리시,2020. 04 월,2698,2768,-70,1274,593,884,831,610
남양주시,2020. 04 월,6893,6127,766,2412,1647,1825,2834,1890
오산시,2020. 04 월,2624,2262,362,757,1074,1070,793,435
시흥시,2020. 04 월,5793,4897,896,2121,1733,1508,1939,1268
군포시,2020. 04 월,3146,3189,-43,1372,1075,1307,699,510
의왕시,2020. 04 월,2407,2327,80,773,1163,1234,471,320
하남시,2020. 04 월,5440,3306,2134,1456,1299,721,2685,1129
용인시,2020. 04 월,14494,11799,2695,5883,4384,3557,4227,2359
파주시,2020. 04 월,4851,4107,744,2086,1304,1107,1461,914
이천시,2020. 04 월,2240,1821,419,886,492,470,862,465
안성시,2020. 04 월,2164,1670,494,800,680,474,684,396
김포시,2020. 04 월,7126,4904,2222,2535,1104,844,3487,1525
화성시,2020. 04 월,12350,8471,3879,4175,4971,2807,3204,1489
양주시,2020. 04 월,3286,2468,818,1269,1081,723,936,476
광주시,2020. 04 월,4031,3487,544,1152,1578,1540,1301,795
포천시,2020. 04 월,1407,1053,354,526,436,299,445,228
여주시,2020. 04 월,1051,914,137,433,296,267,322,214
양주군,2020. 04 월,0,0,0,0,0,0,0,0
여주군,2020. 04 월,0,0,0,0,0,0,0,0
화성군,2020. 04 월,0,0,0,0,0,0,0,0
파주군,2020. 04 월,0,0,0,0,0,0,0,0
광주군,2020. 04 월,0,0,0,0,0,0,0,0
연천군,2020. 04 월,442,357,85,133,148,128,161,96
포천군,2020. 04 월,0,0,0,0,0,0,0,0
가평군,2020. 04 월,621,456,165,78,209,162,334,216
양평군,2020. 04 월,1221,907,314,304,373,305,544,298
이천군,2020. 04 월,0,0,0,0,0,0,0,0
용인군,2020. 04 월,0,0,0,0,0,0,0,0
안성군,2020. 04 월,0,0,0,0,0,0,0,0
김포군,2020. 04 월,0,0,0,0,0,0,0,0
강원도,2020. 04 월,16900,17495,-595,8582,2707,2707,5611,6206
춘천시,2020. 04 월,3386,3593,-207,2132,386,434,868,1027
원주시,2020. 04 월,4665,4437,228,2781,491,339,1393,1317
강릉시,2020. 04 월,2428,2486,-58,1439,315,323,674,724
동해시,2020. 04 월,1122,1123,-1,624,202,147,296,352
태백시,2020. 04 월,326,473,-147,178,62,108,86,187
속초시,2020. 04 월,1044,1005,39,451,259,223,334,331
삼척시,2020. 04 월,533,718,-185,257,111,194,165,267
홍천군,2020. 04 월,555,470,85,99,118,115,338,256
횡성군,2020. 04 월,302,346,-44,52,84,117,166,177
영월군,2020. 04 월,230,379,-149,37,51,79,142,263
평창군,2020. 04 월,267,310,-43,38,63,87,166,185
정선군,2020. 04 월,276,267,9,74,65,61,137,132
철원군,2020. 04 월,306,437,-131,95,45,37,166,305
화천군,2020. 04 월,251,279,-28,36,71,75,144,168
양구군,2020. 04 월,347,268,79,61,167,68,119,139
인제군,2020. 04 월,370,326,44,96,69,66,205,164
고성군,2020. 04 월,219,310,-91,43,83,140,93,127
양양군,2020. 04 월,273,268,5,89,65,94,119,85
충청북도,2020. 04 월,16583,17433,-850,9150,1897,1897,5536,6386
청주시,2020. 04 월,9938,9855,83,6455,732,504,2751,2896
충주시,2020. 04 월,2259,2448,-189,1345,209,196,705,907
제천시,2020. 04 월,1282,1444,-162,735,110,110,437,599
청원군,2020. 04 월,0,0,0,0,0,0,0,0
보은군,2020. 04 월,186,216,-30,35,48,69,103,112
옥천군,2020. 04 월,310,292,18,49,25,29,236,214
영동군,2020. 04 월,280,464,-184,61,30,30,189,373
증평군,2020. 04 월,301,329,-28,9,144,155,148,165
진천군,2020. 04 월,840,759,81,187,289,247,364,325
괴산군,2020. 04 월,275,442,-167,54,92,197,129,191
음성군,2020. 04 월,758,959,-201,181,176,300,401,478
단양군,2020. 04 월,154,225,-71,39,42,60,73,126
충청남도,2020. 04 월,21396,22465,-1069,9426,3236,3236,8734,9803
천안시,2020. 04 월,7553,7699,-146,4009,973,817,2571,2873
공주시,2020. 04 월,1053,1150,-97,442,125,129,486,579
보령시,2020. 04 월,1062,1165,-103,573,116,149,373,443
아산시,2020. 04 월,3353,3386,-33,1319,717,754,1317,1313
서산시,2020. 04 월,1829,1802,27,877,222,195,730,730
논산시,2020. 04 월,1044,1245,-201,453,103,124,488,668
계룡시,2020. 04 월,628,536,92,92,57,55,479,389
당진시,2020. 04 월,1599,1705,-106,720,166,194,713,791
금산군,2020. 04 월,358,443,-85,83,21,25,254,335
연기군,2020. 04 월,0,0,0,0,0,0,0,0
논산군,2020. 04 월,0,0,0,0,0,0,0,0
부여군,2020. 04 월,404,490,-86,139,64,88,201,263
서천군,2020. 04 월,327,406,-79,92,41,55,194,259
청양군,2020. 04 월,192,278,-86,49,50,91,93,138
홍성군,2020. 04 월,913,962,-49,298,279,232,336,432
예산군,2020. 04 월,619,711,-92,182,212,225,225,304
태안군,2020. 04 월,462,487,-25,98,90,103,274,286
당진군,2020. 04 월,0,0,0,0,0,0,0,0
전라북도,2020. 04 월,19116,20086,-970,10607,3920,3920,4589,5559
전주시,2020. 04 월,8508,8353,155,5304,1646,1262,1558,1787
군산시,2020. 04 월,2905,2996,-91,1879,322,261,704,856
익산시,2020. 04 월,2696,2832,-136,1580,411,461,705,791
정읍시,2020. 04 월,1011,1154,-143,596,187,188,228,370
남원시,2020. 04 월,787,814,-27,429,115,139,243,246
김제시,2020. 04 월,693,822,-129,269,258,305,166,248
완주군,2020. 04 월,821,949,-128,112,515,572,194,265
진안군,2020. 04 월,172,236,-64,25,90,126,57,85
무주군,2020. 04 월,153,176,-23,36,22,23,95,117
장수군,2020. 04 월,168,157,11,30,68,62,70,65
임실군,2020. 04 월,215,371,-156,58,81,218,76,95
순창군,2020. 04 월,236,263,-27,63,59,47,114,153
고창군,2020. 04 월,358,481,-123,93,56,108,209,280
부안군,2020. 04 월,393,482,-89,133,90,148,170,201
