"행정구역(시군구)별","시점","총인구수[명]","남자인구수[명]","여자인구수[명]",
"원주시","2020. 08 월","352964","175152","177812",
"강릉시","2020. 08 월","212935","105651","107284",
"동해시","2020. 08 월","90548","45887","44661",
"태백시","2020. 08 월","42980","21749","21231",
"속초시","2020. 08 월","82343","40742","41601",
"삼척시","2020. 08 월","65708","33268","32440",
"홍천군","2020. 08 월","69167","35613","33554",
"횡성군","2020. 08 월","46409","23783","22626",
"영월군","2020. 08 월","38773","20023","18750",
"평창군","2020. 08 월","41742","21350","20392",
"정선군","2020. 08 월","37006","19235","17771",
"철원군","2020. 08 월","44833","23280","21553",
"화천군","2020. 08 월","24802","13440","11362",
"양구군","2020. 08 월","22329","11816","10513",
"인제군","2020. 08 월","31571","17026","14545",
"고성군","2020. 08 월","26857","13852","13005",
"양양군","2020. 08 월","27868","14160","13708",
"충청북도","2020. 08 월","1598162","810023","788139",
"청주시","2020. 08 월","843782","425096","418686",
"서원구","2020. 08 월","198128","98394","99734",
"청원구","2020. 08 월","193925","99288","94637",
"상당구","2020. 08 월","185904","92559","93345",
"흥덕구","2020. 08 월","265825","134855","130970",
"충주시","2020. 08 월","210304","106345","103959",
"제천시","2020. 08 월","133170","66804","66366",
"보은군","2020. 08 월","32522","16370","16152",
"옥천군","2020. 08 월","50792","25583","25209",
"영동군","2020. 08 월","47706","23689","24017",
"증평군","2020. 08 월","37136","19298","17838",
"진천군","2020. 08 월","81949","42920","39029",
"괴산군","2020. 08 월","37354","19136","18218",
"음성군","2020. 08 월","94179","49950","44229",
"단양군","2020. 08 월","29268","14832","14436",
"충청남도","2020. 08 월","2120519","1081807","1038712",
"당진시","2020. 08 월","166067","88049","78018",
"천안시","2020. 08 월","658212","335724","322488",
"동남구","2020. 08 월","258942","131244","127698",
"서북구","2020. 08 월","399270","204480","194790",
"공주시","2020. 08 월","105353","52741","52612",
"보령시","2020. 08 월","100538","50941","49597",
"아산시","2020. 08 월","313871","162873","150998",
"서산시","2020. 08 월","175272","91076","84196",
"논산시","2020. 08 월","117340","58656","58684",
"계룡시","2020. 08 월","42802","21300","21502",
"금산군","2020. 08 월","51641","26032","25609",
"부여군","2020. 08 월","65723","32560","33163",
"서천군","2020. 08 월","52137","25776","26361",
"청양군","2020. 08 월","30863","15623","15240",
"홍성군","2020. 08 월","99984","49715","50269",
"예산군","2020. 08 월","78420","39353","39067",
"태안군","2020. 08 월","62296","31388","30908",
"전라북도","2020. 08 월","1807094","898296","908798",
"전주시","2020. 08 월","656149","323103","333046",
"완산구","2020. 08 월","339695","165542","174153",
"덕진구","2020. 08 월","316454","157561","158893",
"군산시","2020. 08 월","267982","135367","132615",
"익산시","2020. 08 월","283496","141163","142333",
"정읍시","2020. 08 월","109167","54088","55079",
"남원시","2020. 08 월","81062","39728","41334",
"김제시","2020. 08 월","83061","41140","41921",
"완주군","2020. 08 월","91741","47109","44632",
"진안군","2020. 08 월","25466","12845","12621",
"무주군","2020. 08 월","24024","11938","12086",
"장수군","2020. 08 월","22159","11023","11136",
"임실군","2020. 08 월","27663","14144","13519",
"순창군","2020. 08 월","27942","13569","14373",
"고창군","2020. 08 월","54727","27019","27708",
"부안군","2020. 08 월","52455","26060","26395",
"전라남도","2020. 08 월","1851985","930466","921519",
"목포시","2020. 08 월","226875","113053","113822",
"여수시","2020. 08 월","280603","143046","137557",
"순천시","2020. 08 월","281999","140794","141205",
"나주시","2020. 08 월","114392","57546","56846",
"광양시","2020. 08 월","151122","78726","72396",
"담양군","2020. 08 월","45980","23373","22607",
"곡성군","2020. 08 월","28226","13779","14447",
"구례군","2020. 08 월","25696","12476","13220",
"고흥군","2020. 08 월","64198","31179","33019",
"보성군","2020. 08 월","40754","19796","20958",
"화순군","2020. 08 월","62649","30993","31656",
"장흥군","2020. 08 월","37909","18426","19483",
"강진군","2020. 08 월","34809","16794","18015",
